drug_id	drug_name	drug_synonyms	drug_cas_number	drug_brands	drug_type	drug_groups	drug_categories	target_count
DB00001	Lepirudin	Hirudin variant-1	120993-53-5	Refludan	biotech	approved	Anticoagulants, Antithrombotic Agents, Fibrinolytic Agents	1
DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	12
DB00003	Dornase Alfa	Deoxyribonuclease I, Deoxyribonuclease-1 precursor, DNase, DNase I, rhDNase	9003-98-9	Pulmozyme, Viscozyme	biotech	approved	Enzyme	1
DB00004	Denileukin diftitox	Diphtheria toxin precursor, DT, NAD(+--diphthamide ADP- ribosyltransferase)	173146-27-5	Ontak	biotech	approved	Antineoplastic Agents	3
DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	14
DB00006	Bivalirudin	N/A	128270-60-0	Angiomax, Angiox	biotech	approved	Anticoagulants, Antithrombotic Agents	1
DB00007	Leuprolide	Leuprorelin	53714-56-0	Eligard, Enantone, Leuplin, LeuProMaxx, Leupromer, Lupron, Lutrate, Memryte, Prostap 3, Prostap SR, Viadur	biotech	approved	Antineoplastic Agents, Anti-Estrogen Agents	1
DB00008	Peginterferon alfa-2a	N/A	198153-51-4	Pegasys, Pegasys (Hoffman-La Roche Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	2
DB00009	Alteplase	t-PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	105857-23-6	Activase (Genentech Inc)	biotech	approved	Thrombolytic Agents	4
DB00010	Sermorelin	N/A	86168-78-7	Geref	biotech	approved	Anabolic Agents, Hormone Replacement Agents	1
DB00011	Interferon alfa-n1	Interferon alpha-2, Interferon alpha-A, LeIF A	74899-72-2	Wellferon (GlaxoSmithKline)	biotech	approved	Immunomodulatory Agents, Antiviral Agents	2
DB00012	Darbepoetin alfa	Epoetin, Erythropoietin precursor	11096-26-7	Aranesp 	biotech	approved	Antianemic Agents	1
DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	10
DB00014	Goserelin	N/A	65807-02-5	Zoladex	small molecule	approved	Antineoplastic Agents, Antineoplastic Agents, Hormonal	2
DB00015	Reteplase	t- PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	133652-38-7	Retavase (Centocor), Retavase (Roche)	biotech	approved	Thrombolytic Agents	4
DB00016	Epoetin alfa	Epoetin, Erythropoietin precursor	113427-24-0	Epogen, Epogen (Amgen Inc.), Epogin (Chugai), Epomax (Elanex), Eprex, NeoRecormon (Roche), Procrit, Procrit (Ortho Biotech), Recormon (Roche)	biotech	approved	Antianemic Agents	1
DB00017	Salmon Calcitonin	Calcitonin 1 precursor, Calcitonin-salmon, Calcitonin, salmon, Salmotonin	47931-85-1	Calcimar, Miacalcin (Novartis)	biotech	approved	Antiosteporotic Agents, Antihypocalcemic Agents, Bone Density Conservation Agents	1
DB00018	Interferon alfa-n3	N/A	N/A	Alferon (Interferon Sciences Inc.), Alferon LDO, Alferon N Injection	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	2
DB00019	Pegfilgrastim	G-CSF, Granulocyte colony-stimulating factor precursor, Lenograstim, Pluripoietin	208265-92-3	Neulasta (Amgen Inc.)	biotech	approved	Immunomodulatory Agents, Anti-Infective Agents, Antineutropenic Agents	2
DB00020	Sargramostim	Colony-stimulating factor, CSF, GM-CSF, Granulocyte-macrophage colony-stimulating factor precursor, Molgramostin	83869-56-1	Immunex, Leucomax (Novartis), Leukine, Leukine (Berlex Laboratories Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Anti-Infective Agents	5
DB00021	Secretin	Secremax, SecreFlo	N/A	SecreFlo, Secremax, SecreFlo (Repligen Corp)	biotech	approved	Diagnostic Agents	1
DB00022	Peginterferon alfa-2b	N/A	99210-65-8	PEG-Intron (Schering Corp), Unitron PEG	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	2
DB00023	Asparaginase	L-asparagine amidohydrolase, Putative L-asparaginase precursor	9015-68-3	Elspar (Merck & Co. Inc)	biotech	approved	Antineoplastic Agents	1
DB00024	Thyrotropin Alfa	Follicle-stimulating hormone beta subunit, Follitropin beta chain precursor, FSH-B, FSH-beta	9002-71-5	Thyrogen (Genzyme Inc)	biotech	approved	Diagnostic Agents	1
DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	11
DB00026	Anakinra	ICIL-1RA, IL-1ra, IL-1RN, IL1 inhibitor, Interleukin-1 receptor antagonist protein precursor, IRAP	143090-92-0	Kineret (Amgen Inc)	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	1
DB00027	Gramicidin D	N/A	1405-97-6	Neosporin	biotech	approved	Anti-Infectives, Antibiotic Agents, Ophthalmic Antibiotic, Topical Antibiotic, Antibiotics	0
DB00028	Intravenous Immunoglobulin	Ig alpha-2 chain C region, immune globulin, Immunoglobulin G	9007-83-4	Civacir, Flebogamma (Instituto Grifols SA), Gamunex (Talecris Biotherapeutics)	biotech	approved	Immunomodulatory Agents, Anti-Infectives	11
DB00029	Anistreplase	t- PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	81669-57-0	Eminase (Wulfing Pharma GmbH)	biotech	approved	Thrombolytic Agents	4
DB00030	Insulin recombinant	Insulin precursor	9004-10-8	Novolin R (Novo Nordisk)	biotech	approved	Hypoglycemic Agents	12
DB00031	Tenecteplase	t- PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	191588-94-0	TNKase (Genentech Inc)	biotech	approved	Thrombolytic Agents	11
DB00032	Menotropins	LH-B, LSH- beta, LSH-B, Luteinizing hormone beta subunit, Lutropin beta chain precursor	61489-71-2	Repronex	biotech	approved	Fertility Agents	2
DB00033	Interferon gamma-1b	IFN-gamma, Immune interferon, Interferon gamma precursor	82115-62-6	Actimmune, Actimmune (InterMune Inc)	biotech	approved	Immunomodulatory Agents, Antiviral Agents	2
DB00034	Interferon Alfa-2a, Recombinant	Interferon alfa-2a, Oral interferon alfa, rIFN-alpha-2a	77907-69-8	Roferon A (Hoffmann-La Roche Inc), Veldona (Amarillo Biosciences)	biotech	approved	Antineoplastic Agents, Antiviral Agents	2
DB00035	Desmopressin	1-Desamino-8-D-arginine vasopressin, Desmopresina [INN-Spanish], Desmopressine [INN-French], Desmopressinum [INN-Latin]	16679-58-6	Adiuretin, Concentraid, DDAVP, Minirin, Stimate	small molecule	approved	Renal Agents, Hemostatics, Antidiuretic Agents	3
DB00036	Coagulation factor VIIa	Coagulation factor VII precursor, Eptacog alfa, Proconvertin, Serum prothrombin conversion accelerator, SPCA	9001-25-6	NovoSeven (Novo Nordisk)	biotech	approved	Coagulants, Thrombotic Agents	6
DB00038	Oprelvekin	Adipogenesis inhibitory factor, AGIF, IL-11, Interleukin-11 precursor	145941-26-0	Neumega, Neumega (Genetics Institute Inc)	biotech	approved	Coagulants, Thrombotics	1
DB00039	Palifermin	FGF-7, Fibroblast growth factor- 7, HBGF-7, Keratinocyte growth factor precursor, KGF	162394-19-6	Kepivance (Amgen Inc)	biotech	approved	Antimucositis Agents	6
DB00040	Glucagon recombinant	N/A	9007-92-5	GlucaGen (Novo Nordisk), Glucagon (Eli Lilly)	biotech	approved	Antihypoglycemic Agents	3
DB00041	Aldesleukin	IL-2, Interleukin-2 precursor, T-cell growth factor, TCGF	85898-30-2	Proleukin, Proleukin (Chiron Corp)	biotech	approved	Antineoplastic Agents	3
DB00042	Botulinum Toxin Type B	Botulinum neurotoxin type B precursor, BTX-B	93384-44-2	Myobloc (Solstice Neurosciences), Neurobloc (Solstice Neurosciences)	biotech	approved	Antidystonic Agents	3
DB00043	Omalizumab	Ig gamma-1 chain C region	242138-07-4	Xolair (Genentech Inc)	biotech	approved	Immunomodulatory Agents, Anti-Asthmatic Agents	2
DB00044	Lutropin alfa	LH-B, LSH- beta, LSH-B, Luteinizing hormone beta subunit, Lutropin beta chain precursor	152923-57-4	Luveris (Serono)	biotech	approved	Fertility Agents	1
DB00045	OspA lipoprotein	Outer surface protein A precursor	N/A	LYMErix (SmithKline Beecham)	biotech	approved	Vaccines	1
DB00046	Insulin Lispro	N/A	133107-64-9	Humalog, Humalog Mix 75/25 Pen	biotech	approved	Hypoglycemic Agents, Antidiabetic	2
DB00047	Insulin Glargine	Insulin Glargine (rDNA origin)	160337-95-1	Lantus, Lantus SoloStar	biotech	approved	Hypoglycemic Agents, Antidiabetic	2
DB00048	Collagenase	AA4500	9001-12-1	Cordase, Santyl (Advance Biofactures Corp), Xiaflextm	biotech	approved	Anti-Ulcer Agents, Topical	4
DB00049	Rasburicase	Urate oxidase, Uricase	134774-45-1	Elitek, Elitek (Sanofi-Synthelabo Inc), Fasturtec	biotech	approved	Antihyperuricemic Agents	1
DB00050	Cetrorelix	Cetrorelixum [INN-Latin], SB 75, SB-75	120287-85-6	Cetrotide	small molecule	approved	Infertility Agents, Hormone Antagonists	2
DB00051	Adalimumab	Ig gamma-1 chain C region	331731-18-1	Humira, Humira (Abbott Laboratories), Humira Pen	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	12
DB00052	Somatropin recombinant	GH, GH-N, Growth hormone, Growth hormone 1, Pituitary growth hormone, Somatotropin precursor, Somatropin	12629-01-5	BioTropin (Biotech General), Genotropin (Pfizer), Humatrope (Eli Lilly), Norditropin (Novo Nordisk), Nutropin (Genentech Inc.), NutropinAQ (Genentech Inc.), Protropin (Genentech Inc.), Saizen (Serono SA), Serostim, Serostim (Serono SA), Tev-Tropin (GATE)	biotech	approved	Anabolic Agents, Hormone Replacement Agents	2
DB00053	Imiglucerase	N/A	143003-46-7	Cerezyme	biotech	approved	Enzyme Replacement Agents	1
DB00054	Abciximab	7E3 antibody, antiGPIIBIIIa, c7E3, ReoPro	143653-53-6	ReoPro	biotech	approved	Anticoagulants, Antiplatelet Agents	14
DB00055	Drotrecogin alfa	Anticoagulant protein C, Autoprothrombin IIA, Blood coagulation factor XIV, Vitamin K-dependent protein C precursor	60202-16-6	Xigris, Xigris (Eli Lilly & Co)	biotech	approved	Antisepsis Agents	12
DB00056	Gemtuzumab ozogamicin	anti-CD33, Mylotarg	220578-59-6	Mylotarg, Mylotarg (Wyeth)	biotech	approved	Antineoplastic Agents	12
DB00057	Satumomab Pendetide	Indium (111In) satumomab pendetide , Indium-111 satumomab pendetide	138955-26-7	OncoScint 	biotech	approved	Imaging Agents	2
DB00058	Alpha-1-proteinase inhibitor	Alpha 1-antitrypsin, Alpha-1 protease inhibitor, Alpha-1-antiproteinase, Alpha-1-antitrypsin precursor	9041-92-3	Aralast (Baxter), Prolastin (Talecris Biotherapeutics C formerly Bayer)	biotech	approved	Enzyme Replacement Agents	1
DB00059	Pegaspargase	L-asparagine amidohydrolase, Putative L-asparaginase precursor	130167-69-0	Oncaspar (Enzon Inc)	biotech	approved	Antineoplastic Agents	1
DB00060	Interferon beta-1a	Fibroblast interferon, IFN-beta, Interferon beta precursor	145258-61-3	Avonex, Avonex (Biogen Inc)	biotech	approved	Immunomodulatory Agents, Antiviral Agents	2
DB00061	Pegademase bovine	Adenosine aminohydrolase, Adenosine deaminase	9026-93-1	Adagen (Enzon Inc.)	biotech	approved	Enzyme Replacement Agents	2
DB00062	Human Serum Albumin	Serum albumin precursor	9048-49-1	Albutein (Alpha Therapeutic Corp)	biotech	approved	Serum substitutes	3
DB00063	Eptifibatide	Integrelin, Intrifiban	188627-80-7	Integrilin , Integrilin 	biotech	approved	Anticoagulants, Antiplatelet Agents, Platelet Aggregation Inhibitors	1
DB00064	Serum albumin iodonated	Serum albumin precursor	9048-49-1	Megatope (IsoTex Diagnostics)	biotech	approved	Imaging Agents	3
DB00065	Infliximab	Ig gamma-1 chain C region	170277-31-3	Remicade	biotech	approved	Immunomodulatory Agents, Immunosuppressive Agents	1
