partner_id	gene_symbol	uniprot_id	entrez_id	ensembl_id
1	ftsI	P45059	N/A	N/A
3	HDC	P19113	3067	ENSG00000140287
5	GLS2	Q9UI32	27165	ENSG00000135423
6	F13A1	P00488	2162	ENSG00000124491
7	NOS2	P35228	4843	ENSG00000007171
9	HSD17B2	P37059	3294	ENSG00000086696
10	PYGL	P06737	5836	ENSG00000100504
11	NNT	Q13423	23530	ENSG00000112992
12	ADH5	P11766	128	ENSG00000197894
13	AMT	P48728	275	ENSG00000145020
14	IDH3A	P50213	3419	ENSG00000166411
15	CACNA1I	Q9P0X4	8911	ENSG00000100346
16	ADORA1	P30542	134	ENSG00000163485
17	ABL1	P00519	25	ENSG00000097007
18	FCER1A	P12319	2205	ENSG00000179639
19	F8	P00451	2157	ENSG00000185010
20	PTGS1	P23219	5742	ENSG00000095303
21	ADRBK2	P35626	157	ENSG00000100077
22	rpsD	P0A7V8	N/A	N/A
23	DRD1	P21728	1812	ENSG00000184845
24	TMP1	P12461	N/A	N/A
25	SLC13A1	Q9BZW2	6561	ENSG00000081800
26	FLT4	P35916	2324	ENSG00000037280
27	SCNN1B	P51168	6338	ENSG00000168447
28	COL1A1	P02452	1277	ENSG00000108821
29	TUBB1	Q9H4B7	81027	ENSG00000101162
30	NDUFV3	P56181	4731	ENSG00000160194
31	FARS2	O95363	10667	ENSG00000145982
32	FLT1	P17948	2321	ENSG00000102755
33	SLC7A11	Q9UPY5	23657	ENSG00000151012
34	DHCR7	Q9UBM7	1717	ENSG00000172893
35	DHRS4	Q9BTZ2	10901	ENSG00000157326
36	INSR	P06213	3643	ENSG00000171105
37	embA	P0A560	N/A	N/A
38	CTNS	O60931	1497	ENSG00000040531
40	RAF1	P04049	5894	ENSG00000132155
41	NDUFS8	O00217	4728	ENSG00000110717
42	FARSA	Q9Y285	2193	ENSG00000179115
45	LIPT1	Q9Y234	51601	ENSG00000144182
46	F5	P12259	2153	ENSG00000198734
48	PDXK	O00764	8566	ENSG00000160209
49	EDNRB	P24530	1910	ENSG00000136160
50	NSDHL	Q15738	50814	ENSG00000147383
51	CHRM3	P20309	1131	ENSG00000133019
52	PKLR	P30613	5313	ENSG00000143627
53	SLC12A5	Q9H2X9	57468	ENSG00000124140
54	F2	P00734	2147	ENSG00000180210
55	FCER1G	P30273	2207	ENSG00000158869
56	ALAD	P13716	210	ENSG00000148218
57	HSD3B1	P14060	3283	ENSG00000203857
58	SLC7A4	O43246	6545	ENSG00000099960
59	AMT	Q96IG6	275	N/A
61	folK	P64143	N/A	N/A
62	GLRB	P48167	2743	ENSG00000109738
63	mdh	P61889	N/A	N/A
64	NA	P06818	N/A	N/A
65	N/A	P14780	4318	ENSG00000100985
66	HSD3B2	P26439	3284	ENSG00000203859
67	P4HA1	P13674	5033	ENSG00000122884
68	CNR1	P21554	1268	ENSG00000118432
70	AGTR1	P30556	185	ENSG00000144891
72	SARS	P49591	6301	ENSG00000031698
73	PTGER1	P34995	5731	ENSG00000160951
74	DLAT	P10515	1737	ENSG00000150768; ENSG00000263032
75	MS4A1	P11836	931	ENSG00000156738
76	NOS1	P29475	4842	ENSG00000089250
77	LDHB	P07195	3945	ENSG00000111716
78	ACAT1	P24752	38	ENSG00000075239
80	PPARA	Q07869	5465	ENSG00000186951
81	MCCC2	Q9HCC0	64087	ENSG00000131844
83	AASS	Q9UDR5	10157	ENSG00000008311
84	NR0B1	P51843	190	ENSG00000169297
85	GHR	P10912	2690	ENSG00000112964
86	SEC14L4	Q9UDX3	284904	ENSG00000133488
87	HPRT1	P00492	3251	ENSG00000165704
88	RXRB	P28702	6257	ENSG00000204231; ENSG00000206289; ENSG00000228333; ENSG00000235712; ENSG00000231321; ENSG00000227322
89	CSAD	Q9Y600	51380	ENSG00000139631
90	TPH2	Q8IWU9	121278	ENSG00000139287
91	NDUFA10	O95299	4705	ENSG00000130414
92	CKB	P12277	1152	ENSG00000166165
93	CD52	P31358	1043	ENSG00000169442
94	HTR4	Q13639	3360	ENSG00000164270
95	FTL	P02792	2512	ENSG00000087086
96	HAL	P42357	3034	ENSG00000084110
97	PLOD1	Q02809	5351	ENSG00000083444
98	PKM2	P14618	5315	N/A
99	NDUFS5	O43920	4725	ENSG00000168653
101	KCNH2	Q12809	3757	ENSG00000055118
102	TOP1MT	Q969P6	116447	ENSG00000184428
103	CHRM1	P11229	1128	ENSG00000168539
104	NDUFS6	O75380	4726	ENSG00000145494
105	SLC5A6	Q9Y289	8884	ENSG00000138074
106	CNR2	P34972	1269	ENSG00000188822
107	SC4MOL	Q15800	6307	ENSG00000052802
109	SLC25A29	Q8N8R3	123096	ENSG00000197119
110	PDHB	P11177	5162	ENSG00000168291
111	CYSLTR2	Q9NS75	57105	ENSG00000152207
112	LDHAL6B	Q9BYZ2	92483	ENSG00000171989
113	AMD1	P17707	262	ENSG00000123505
114	AGXT2	Q9BYV1	64902	ENSG00000113492
115	mrdA	P44469	N/A	N/A
117	SOAT1	P35610	6646	ENSG00000057252
118	SLC22A5	O76082	6584	ENSG00000197375
119	CEACAM1	P13688	634	ENSG00000079385
121	RENBP	P51606	5973	ENSG00000102032
122	P2RY12	Q9H244	64805	ENSG00000169313
123	SAT1	P21673	6303	ENSG00000130066
124	HRH2	P25021	3274	ENSG00000113749
125	POLB	P06746	5423	ENSG00000070501
126	dld	P06149	N/A	N/A
128	APRT	P07741	353	ENSG00000198931
129	ebgA	P06864	N/A	N/A
130	PTGIS	Q16647	5740	ENSG00000124212
131	SLC18A2	Q05940	6571	ENSG00000165646
132	ABCA1	O95477	19	ENSG00000165029
133	sulI	Q49184	N/A	N/A
134	TPH1	P17752	7166	ENSG00000129167
135	embB	P72030	N/A	N/A
136	ESR1	P03372	2099	ENSG00000091831
137	folC	P08192	N/A	N/A
138	IL3	P08700	3562	ENSG00000164399
139	AKR1C1	Q04828	1645	ENSG00000187134
140	rpsI	P0A7X3	N/A	N/A
141	HIBADH	P31937	11112	ENSG00000106049
142	GABRR1	P24046	2569	ENSG00000146276
144	HBA1	P69905	3039; 3040	ENSG00000188536; ENSG00000206172
145	HSD11B2	P80365	3291	ENSG00000176387
146	AR	P10275	367	ENSG00000169083
147	ALDH2	P05091	217	ENSG00000111275
148	LHCGR	P22888	3973	ENSG00000138039
149	ALDH7A1	P49419	501	ENSG00000164904
150	SLC7A3	Q8WY07	84889	ENSG00000165349
152	NDUFV2	P19404	4729	ENSG00000178127
153	DBH	P09172	1621	ENSG00000123454
154	AFG3L2	Q9Y4W6	10939	ENSG00000141385
157	SLC12A6	Q9UHW9	9990	ENSG00000140199
158	SCN1A	P35498	6323	ENSG00000144285
159	penA	P0A3M5	N/A	N/A
161	TUBB	P07437	203068	ENSG00000196230; ENSG00000183311; ENSG00000235067; ENSG00000224156; ENSG00000229684; ENSG00000227739; ENSG00000232421; ENSG00000232575
162	RARG	P13631	5916	ENSG00000172819
163	DRD5	P21918	1816	ENSG00000169676
164	HRH4	Q9H3N8	59340	ENSG00000134489
165	FLT3	P36888	2322	ENSG00000122025
166	ME2	P23368	4200	ENSG00000082212
167	LDHC	P07864	3948	ENSG00000166796
169	NFS1	Q9Y697	9054	ENSG00000244005
170	ALDH5A1	P51649	7915	ENSG00000112294
171	CDO-1	Q16857	N/A	N/A
172	KCNK1	O00180	3775	ENSG00000135750
173	TLR7	Q9NYK1	51284	ENSG00000196664
174	SIGMAR1	Q99720	10280	ENSG00000147955
175	TPK1	Q9H3S4	27010	ENSG00000196511
176	rpsJ	P0A7R5	N/A	N/A
177	HLCS	P50747	3141	ENSG00000159267
178	CYB5R3	P00387	1727	ENSG00000100243
180	PHGDH	O43175	26227	ENSG00000092621
182	OGDH	Q02218	4967	ENSG00000105953
183	VEGFA	P15692	7422	ENSG00000112715
184	SDS	P20132	10993	ENSG00000135094
185	AVPR1A	P37288	552	ENSG00000166148
186	GCLC	P48506	2729	ENSG00000001084
187	LIG3	P49916	3980	ENSG00000005156
189	SLC23A1	Q9UHI7	9963	ENSG00000170482
190	NDUFA4	O00483	4697	ENSG00000189043
191	MSRA	Q9UJ68	4482	ENSG00000175806
192	CKMT1A	P12532	1159; 548596	ENSG00000237289; ENSG00000223572
193	ADRB1	P08588	153	ENSG00000043591
194	NDUFC2	O95298	4718	ENSG00000151366
195	SLC16A6	O15403	9120	ENSG00000108932; ENSG00000262275
196	BDH1	Q02338	622	ENSG00000161267
197	SDHA	P31040	6389	ENSG00000073578
198	SCN10A	Q9Y5Y9	6336	ENSG00000185313
199	SLC16A2	P36021	6567	ENSG00000147100
200	CPT2	P23786	1376	ENSG00000157184
201	GLUD1	P00367	2746	ENSG00000148672
203	PNPO	Q9NVS9	55163	ENSG00000108439
204	PDE5A	O76074	8654	ENSG00000138735
206	HSD17B7	P56937	51478	ENSG00000132196
207	GSS	P48637	2937	ENSG00000100983
208	rpoC	P0A674	N/A	N/A
209	ASPA	P45381	443	ENSG00000108381
210	EPRS	P07814	2058	ENSG00000136628
211	SCARB1	Q8WTV0	949	ENSG00000073060
213	SCNN1A	P37088	6337	ENSG00000111319
214	NDUFS3	O75489	4722	ENSG00000213619
215	SCN11A	Q9UI33	11280	ENSG00000168356
216	ALDH3B2	P48448	222	ENSG00000132746
217	HSD17B1	P14061	3292	ENSG00000108786
218	SLC16A4	O15374	9122	ENSG00000168679
219	MT-ND3	P03897	4537	ENSG00000198840
220	SCN5A	Q14524	6331	ENSG00000183873
221	KARS	Q15046	3735	ENSG00000065427
222	LIG1	P18858	3978	ENSG00000105486
224	SLC25A15	Q9Y619	10166	ENSG00000102743
225	NAE1	Q13564	8883	ENSG00000159593
226	GNRHR	P30968	2798	ENSG00000109163
227	LARS2	Q15031	23395	ENSG00000011376
228	PDGFRB	P09619	5159	ENSG00000113721
229	RARB	P10826	5915	ENSG00000077092
230	ABCC8	Q09428	6833	ENSG00000006071
231	GPD1	P21695	2819	ENSG00000167588
232	SERPINA6	P08185	866	ENSG00000170099
233	KCNK2	O95069	3776	ENSG00000082482
234	PLG	P00747	5340	ENSG00000122194
235	SLC7A1	P30825	6541	ENSG00000139514
236	NDUFA6	P56556	4700	ENSG00000184983
237	ABO	P16442	28	ENSG00000256062
238	PPARG	P37231	5468	ENSG00000132170
239	F10	P00742	2159	ENSG00000126218
240	GABBR1	Q9UBS5	2550	ENSG00000204681; ENSG00000206466; ENSG00000206511; ENSG00000232632; ENSG00000237112; ENSG00000237051; ENSG00000232569
241	ATP2C1	P98194	27032	ENSG00000017260
242	ASNS	P08243	440	ENSG00000070669
243	NQO2	P16083	4835	ENSG00000124588
244	ACE	P12821	1636	ENSG00000159640
246	VARS	P26640	7407	ENSG00000096171; ENSG00000204394; ENSG00000226589
247	NDUFA1	O15239	4694	ENSG00000125356
248	PYCR1	P32322	5831	ENSG00000183010
251	ADH1A	P07327	124	ENSG00000187758
252	WARS	P23381	7453	ENSG00000140105
253	FXYD2	P54710	486	ENSG00000137731
256	YARS	P54577	8565	ENSG00000134684
