initial_gene_query	primary_name	entrez_gene	citations	gene_category
IP3R1	ITPR1	3708	917	Ion Channel
Kca3.1	KCNN4	3783	797	Ion Channel
Kv1.1	KCNA1	3736	758	Ion Channel
Cav1.2	CACNA1C	775	1217	Ion Channel
Kca1.1	KCNMA1	3778	1035	Ion Channel
RyR1	RYR1	6261	807	Ion Channel
Kv1.5	KCNA5	3741	725	Ion Channel
Kir6.2	KCNJ11	3767	1209	Ion Channel
Kv1.4	KCNA4	3739	510	Ion Channel
Kv11.2	KCNH6	81033	568	Ion Channel
Kv7.1	KCNQ1	3784	1149	Ion Channel
Kv1.2	KCNA2	3737	648	Ion Channel
Kir3.1	KCNJ3	3760	387	Ion Channel
Kv1.3	KCNA3	3738	653	Ion Channel
Nav1.5	SCN5A	6331	1178	Ion Channel
Kir2.1	KCNJ2	3759	704	Ion Channel
Kv2.1	KCNB1	3745	531	Ion Channel
Nav1.4	SCN4A	6329	496	Ion Channel
Kir1.1	KCNJ1	3758	387	Ion Channel
Cav2.3	CACNA1E	777	334	Ion Channel
Kv10.1	KCNH1	3756	832	Ion Channel
TRPP2	PKD2	5311	506	Ion Channel
Kv4.2	KCND2	3751	451	Ion Channel
Kir3.2	KCNJ6	3763	261	Ion Channel
Kv11.1	KCNH2	3757	834	Ion Channel
Cav2.1	CACNA1A	773	714	Ion Channel
Cav1.1	CACNA1S	779	275	Ion Channel
Kv3.1	KCNC1	3746	200	Ion Channel
Kir3.4	KCNJ5	3762	200	Ion Channel
Cav1.3	CACNA1D	776	463	Ion Channel
RyR2	RYR2	6262	662	Ion Channel
Kv4.3	KCND3	3752	394	Ion Channel
RyR3	RYR3	6263	197	Ion Channel
Kir2.3	KCNJ4	3761	163	Ion Channel
Cav3.1	CACNA1G	8913	413	Ion Channel
Kv1.6	KCNA6	3742	163	Ion Channel
Kir6.1	KCNJ8	3764	247	Ion Channel
Kv7.2	KCNQ2	3785	344	Ion Channel
Kir4.1	KCNJ10	3766	246	Ion Channel
Kv7.3	KCNQ3	3786	256	Ion Channel
Kv3.4	KCNC4	3749	127	Ion Channel
TRPV1	TRPV1	7442	2202	Ion Channel
Kca2.3	KCNN3	3782	239	Ion Channel
Cav3.2	CACNA1H	8912	349	Ion Channel
Nav1.8	SCN10A	6336	298	Ion Channel
Kv3.2	KCNC2	3747	72	Ion Channel
K2p1.1	KCNK1	3775	83	Ion Channel
Nav1.2	SCN2A	6326	330	Ion Channel
Nav1.6	SCN8A	6334	277	Ion Channel
Kv2.2	KCNB2	9312	55	Ion Channel
Kir2.2	KCNJ12	3768	111	Ion Channel
IP3R2	ITPR2	3709	58	Ion Channel
K2p2.1	KCNK2	3776	251	Ion Channel
Kir3.3	KCNJ9	3765	57	Ion Channel
Nav1.7	SCN9A	6335	304	Ion Channel
K2p3.1	KCNK3	3777	204	Ion Channel
Kv4.1	KCND1	3750	60	Ion Channel
HCN2	HCN2	610	291	Ion Channel
Cav3.3	CACNA1I	8911	149	Ion Channel
Kca2.2	KCNN2	3781	180	Ion Channel
Slack	KCNT1	57582	58	Ion Channel
TRPV2	TRPV2	51393	247	Ion Channel
KCNK4	KCNK4	50801	84	Ion Channel
CNGA2	CNGA2	1260	147	Ion Channel
Nav1.9	SCN11A	11280	143	Ion Channel
Kv3.3	KCNC3	3748	60	Ion Channel
Kv7.4	KCNQ4	9132	136	Ion Channel
Kir4.2	KCNJ15	3772	36	Ion Channel
Kca2.1	KCNN1	3780	107	Ion Channel
Kir7.1	KCNJ13	3769	46	Ion Channel
K2p5.1	KCNK5	8645	96	Ion Channel
CNGA3	CNGA3	1261	137	Ion Channel
CNGB1	CNGB1	1258	34	Ion Channel
Nav1.1	SCN1A	6323	398	Ion Channel
HCN4	HCN4	10021	241	Ion Channel
TRPV5	TRPV5	56302	262	Ion Channel
Nav1.3	SCN3A	6328	165	Ion Channel
Kir5.1	KCNJ16	3773	54	Ion Channel
K2p6.1	KCNK6	9424	30	Ion Channel
HCN1	HCN1	609	263	Ion Channel
TRPC2	TRPC2	7221	93	Ion Channel
TRPV6	TRPV6	55503	295	Ion Channel
TRPM2	TRPM2	7226	284	Ion Channel
IP3R3	ITPR3	3710	52	Ion Channel
Cav1.4	CACNA1F	778	97	Ion Channel
Kv5.1	KCNF1	3754	13	Ion Channel
Kv6.1	KCNG1	3755	14	Ion Channel
Kv9.3	KCNS3	3790	34	Ion Channel
CNGA1	CNGA1	1259	64	Ion Channel
TRPP3	PKD2L1	9033	47	Ion Channel
Nax	SCN7A	6332	33	Ion Channel
Cav2.2	CACNA1B	774	290	Ion Channel
Kv9.1	KCNS1	3787	10	Ion Channel
Kv11.3	KCNH7	90134	50	Ion Channel
Kv12.2	KCNH3	23416	15	Ion Channel
K2p9.1	KCNK9	51305	149	Ion Channel
HCN3	HCN3	57657	86	Ion Channel
TRPM1	TRPM1	4308	62	Ion Channel
Kv1.8	KCNA10	3744	13	Ion Channel
