#GENE_COLUMN=gene_symbol
#DEFAULT_TAG_HEADER=drug_name
#FILE_DESCRIPTION=DrugBank interactions
#UPLOADER=default
#ORGANISM=Human
#GENE_ID_TYPE=GENE NAME(HUGO)
#DEFAULT_GENES=EGFR C1QB P09871
interaction_count	drug_id	drug_name	drug_synonyms	drug_cas_number	drug_brands	drug_type	drug_groups	drug_categories	partner_id	known_action?	target_actions	gene_symbol	uniprot_id	entrez_id	ensembl_id
1	DB00001	Lepirudin	Hirudin variant-1	120993-53-5	Refludan	biotech	approved	Anticoagulants, Antithrombotic Agents, Fibrinolytic Agents	54	yes	inhibitor	F2	P00734	2147	ENSG00000180210
2	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	844	yes	antagonist	EGFR	P00533	1956	ENSG00000146648
3	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	1102	unknown	N/A	FCGR3B	O75015	2215	ENSG00000162747
4	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3814	unknown	N/A	C1R	P00736	715	ENSG00000159403
5	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3815	unknown	N/A	C1QA	P02745	712	ENSG00000173372
6	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3816	unknown	N/A	C1QB	P02746	713	ENSG00000173369
7	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3817	unknown	N/A	C1QC	P02747	714	ENSG00000159189
8	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3818	unknown	N/A	FCGR3A	P08637	2214	ENSG00000203747
9	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	2782	unknown	N/A	C1S	P09871	716	ENSG00000182326
10	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	784	unknown	N/A	FCGR1A	P12314	2209	ENSG00000150337
11	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3819	unknown	N/A	FCGR2A	P12318	2212	ENSG00000143226
12	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3820	unknown	N/A	FCGR2B	P31994	2213	ENSG00000072694
13	DB00002	Cetuximab	Anti EGFR, IMC-C225	205923-56-4	Erbitux	biotech	approved	Antineoplastic Agents	3821	unknown	N/A	FCGR2C	P31995	N/A	N/A
14	DB00003	Dornase Alfa	Deoxyribonuclease I, Deoxyribonuclease-1 precursor, DNase, DNase I, rhDNase	9003-98-9	Pulmozyme, Viscozyme	biotech	approved	Enzyme	874	yes	N/A	N/A	N/A	N/A	N/A
15	DB00004	Denileukin diftitox	Diphtheria toxin precursor, DT, NAD(+--diphthamide ADP- ribosyltransferase)	173146-27-5	Ontak	biotech	approved	Antineoplastic Agents	724	yes	binder	IL2RA	P01589	3559	ENSG00000134460
16	DB00004	Denileukin diftitox	Diphtheria toxin precursor, DT, NAD(+--diphthamide ADP- ribosyltransferase)	173146-27-5	Ontak	biotech	approved	Antineoplastic Agents	717	yes	agonist	IL2RB	P14784	3560	ENSG00000100385
17	DB00004	Denileukin diftitox	Diphtheria toxin precursor, DT, NAD(+--diphthamide ADP- ribosyltransferase)	173146-27-5	Ontak	biotech	approved	Antineoplastic Agents	3823	unknown	N/A	IL2RG	P31785	3561	ENSG00000147168
18	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	777	yes	antibody	TNF	P01375	7124	ENSG00000204490; ENSG00000206439; ENSG00000228321; ENSG00000228849; ENSG00000230108; ENSG00000223952; ENSG00000232810
19	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	1269	unknown	N/A	TNFRSF1B	P20333	7133	ENSG00000028137
20	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	784	unknown	N/A	FCGR1A	P12314	2209	ENSG00000150337
21	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3818	unknown	N/A	FCGR3A	P08637	2214	ENSG00000203747
22	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3819	unknown	N/A	FCGR2A	P12318	2212	ENSG00000143226
23	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3820	unknown	N/A	FCGR2B	P31994	2213	ENSG00000072694
24	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3821	unknown	N/A	FCGR2C	P31995	N/A	N/A
25	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	1789	unknown	N/A	LTA	P01374	4049	ENSG00000230279; ENSG00000226979; ENSG00000231408
26	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	1102	unknown	N/A	FCGR3B	O75015	2215	ENSG00000162747
27	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	2782	unknown	N/A	C1S	P09871	716	ENSG00000182326
28	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3814	unknown	N/A	C1R	P00736	715	ENSG00000159403
29	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3815	unknown	N/A	C1QA	P02745	712	ENSG00000173372
30	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3816	unknown	N/A	C1QB	P02746	713	ENSG00000173369
31	DB00005	Etanercept	CD120b, p75, p80 TNF-alpha receptor, TNF-R2, Tumor necrosis factor receptor 2, Tumor necrosis factor receptor superfamily member 1B precursor, Tumor necrosis factor receptor type II	185243-69-0	Enbrel, Enbrel (Immunex Corp), Enbrel Sureclick	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	3817	unknown	N/A	C1QC	P02747	714	ENSG00000159189
32	DB00006	Bivalirudin	N/A	128270-60-0	Angiomax, Angiox	biotech	approved	Anticoagulants, Antithrombotic Agents	54	yes	inhibitor	F2	P00734	2147	ENSG00000180210
33	DB00007	Leuprolide	Leuprorelin	53714-56-0	Eligard, Enantone, Leuplin, LeuProMaxx, Leupromer, Lupron, Lutrate, Memryte, Prostap 3, Prostap SR, Viadur	biotech	approved	Antineoplastic Agents, Anti-Estrogen Agents	226	yes	agonist	GNRHR	P30968	2798	ENSG00000109163
34	DB00008	Peginterferon alfa-2a	N/A	198153-51-4	Pegasys, Pegasys (Hoffman-La Roche Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	428	yes	agonist	IFNAR2	P48551	3455	ENSG00000159110
35	DB00008	Peginterferon alfa-2a	N/A	198153-51-4	Pegasys, Pegasys (Hoffman-La Roche Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	728	yes	agonist	IFNAR1	P17181	3454	ENSG00000142166
36	DB00009	Alteplase	t-PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	105857-23-6	Activase (Genentech Inc)	biotech	approved	Thrombolytic Agents	234	yes	activator	PLG	P00747	5340	ENSG00000122194
37	DB00009	Alteplase	t-PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	105857-23-6	Activase (Genentech Inc)	biotech	approved	Thrombolytic Agents	595	yes	N/A	FGA	P02671	2243	ENSG00000171560
38	DB00009	Alteplase	t-PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	105857-23-6	Activase (Genentech Inc)	biotech	approved	Thrombolytic Agents	791	unknown	N/A	PLAUR	Q03405	5329	ENSG00000011422
39	DB00009	Alteplase	t-PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	105857-23-6	Activase (Genentech Inc)	biotech	approved	Thrombolytic Agents	267	unknown	N/A	SERPINE1	P05121	5054	ENSG00000106366
40	DB00010	Sermorelin	N/A	86168-78-7	Geref	biotech	approved	Anabolic Agents, Hormone Replacement Agents	689	yes	agonist	GHRHR	Q02643	2692	ENSG00000106128
41	DB00011	Interferon alfa-n1	Interferon alpha-2, Interferon alpha-A, LeIF A	74899-72-2	Wellferon (GlaxoSmithKline)	biotech	approved	Immunomodulatory Agents, Antiviral Agents	428	yes	agonist	IFNAR2	P48551	3455	ENSG00000159110
42	DB00011	Interferon alfa-n1	Interferon alpha-2, Interferon alpha-A, LeIF A	74899-72-2	Wellferon (GlaxoSmithKline)	biotech	approved	Immunomodulatory Agents, Antiviral Agents	728	yes	agonist	IFNAR1	P17181	3454	ENSG00000142166
43	DB00012	Darbepoetin alfa	Epoetin, Erythropoietin precursor	11096-26-7	Aranesp 	biotech	approved	Antianemic Agents	720	yes	agonist	EPOR	P19235	2057	ENSG00000187266
44	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	234	yes	activator	PLG	P00747	5340	ENSG00000122194
45	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	791	yes	N/A	PLAUR	Q03405	5329	ENSG00000011422
46	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	1074	yes	N/A	PLAU	P00749	5328	ENSG00000122861
47	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	1792	yes	N/A	PLAT	P00750	5327	ENSG00000104368
48	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	267	yes	N/A	SERPINE1	P05121	5054	ENSG00000106366
49	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	1349	yes	N/A	SERPINB2	P05120	5055	ENSG00000197632
50	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	3833	unknown	N/A	SERPINA5	P05154	5104	ENSG00000188488
51	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	1244	unknown	N/A	LRP2	P98164	4036	ENSG00000081479
52	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	3011	unknown	N/A	ST14	Q9Y5Y6	6768	ENSG00000149418
53	DB00013	Urokinase	U-plasminogen activator, uPA, Urokinase-type plasminogen activator precursor	9039-53-6	Abbokinase, Kinlytic	biotech	approved	Thrombolytic Agents	3834	unknown	N/A	NID1	P14543	4811	ENSG00000116962
54	DB00014	Goserelin	N/A	65807-02-5	Zoladex	small molecule	approved	Antineoplastic Agents, Antineoplastic Agents, Hormonal	148	yes	agonist	LHCGR	P22888	3973	ENSG00000138039
55	DB00014	Goserelin	N/A	65807-02-5	Zoladex	small molecule	approved	Antineoplastic Agents, Antineoplastic Agents, Hormonal	226	yes	agonist	GNRHR	P30968	2798	ENSG00000109163
56	DB00015	Reteplase	t- PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	133652-38-7	Retavase (Centocor), Retavase (Roche)	biotech	approved	Thrombolytic Agents	234	yes	activator	PLG	P00747	5340	ENSG00000122194
57	DB00015	Reteplase	t- PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	133652-38-7	Retavase (Centocor), Retavase (Roche)	biotech	approved	Thrombolytic Agents	595	yes	N/A	FGA	P02671	2243	ENSG00000171560
58	DB00015	Reteplase	t- PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	133652-38-7	Retavase (Centocor), Retavase (Roche)	biotech	approved	Thrombolytic Agents	791	unknown	N/A	PLAUR	Q03405	5329	ENSG00000011422
59	DB00015	Reteplase	t- PA, t-plasminogen activator, Tissue-type plasminogen activator precursor, tPA	133652-38-7	Retavase (Centocor), Retavase (Roche)	biotech	approved	Thrombolytic Agents	267	unknown	N/A	SERPINE1	P05121	5054	ENSG00000106366
60	DB00016	Epoetin alfa	Epoetin, Erythropoietin precursor	113427-24-0	Epogen, Epogen (Amgen Inc.), Epogin (Chugai), Epomax (Elanex), Eprex, NeoRecormon (Roche), Procrit, Procrit (Ortho Biotech), Recormon (Roche)	biotech	approved	Antianemic Agents	720	yes	agonist	EPOR	P19235	2057	ENSG00000187266
61	DB00017	Salmon Calcitonin	Calcitonin 1 precursor, Calcitonin-salmon, Calcitonin, salmon, Salmotonin	47931-85-1	Calcimar, Miacalcin (Novartis)	biotech	approved	Antiosteporotic Agents, Antihypocalcemic Agents, Bone Density Conservation Agents	479	unknown	agonist	CALCR	P30988	799	ENSG00000004948
62	DB00018	Interferon alfa-n3	N/A	N/A	Alferon (Interferon Sciences Inc.), Alferon LDO, Alferon N Injection	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	728	yes	agonist	IFNAR1	P17181	3454	ENSG00000142166
63	DB00018	Interferon alfa-n3	N/A	N/A	Alferon (Interferon Sciences Inc.), Alferon LDO, Alferon N Injection	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	428	yes	agonist	IFNAR2	P48551	3455	ENSG00000159110
64	DB00019	Pegfilgrastim	G-CSF, Granulocyte colony-stimulating factor precursor, Lenograstim, Pluripoietin	208265-92-3	Neulasta (Amgen Inc.)	biotech	approved	Immunomodulatory Agents, Anti-Infective Agents, Antineutropenic Agents	870	yes	agonist	CSF3R	Q99062	1441	ENSG00000119535
65	DB00019	Pegfilgrastim	G-CSF, Granulocyte colony-stimulating factor precursor, Lenograstim, Pluripoietin	208265-92-3	Neulasta (Amgen Inc.)	biotech	approved	Immunomodulatory Agents, Anti-Infective Agents, Antineutropenic Agents	437	unknown	N/A	ELANE	P08246	1991	ENSG00000197561
66	DB00020	Sargramostim	Colony-stimulating factor, CSF, GM-CSF, Granulocyte-macrophage colony-stimulating factor precursor, Molgramostin	83869-56-1	Immunex, Leucomax (Novartis), Leukine, Leukine (Berlex Laboratories Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Anti-Infective Agents	692	yes	agonist	CSF2RA	P15509	1438	ENSG00000198223
67	DB00020	Sargramostim	Colony-stimulating factor, CSF, GM-CSF, Granulocyte-macrophage colony-stimulating factor precursor, Molgramostin	83869-56-1	Immunex, Leucomax (Novartis), Leukine, Leukine (Berlex Laboratories Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Anti-Infective Agents	1603	yes	agonist	IL3RA	P26951	3563	ENSG00000185291
68	DB00020	Sargramostim	Colony-stimulating factor, CSF, GM-CSF, Granulocyte-macrophage colony-stimulating factor precursor, Molgramostin	83869-56-1	Immunex, Leucomax (Novartis), Leukine, Leukine (Berlex Laboratories Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Anti-Infective Agents	3837	yes	agonist	CSF2RB	P32927	1439	ENSG00000100368
69	DB00020	Sargramostim	Colony-stimulating factor, CSF, GM-CSF, Granulocyte-macrophage colony-stimulating factor precursor, Molgramostin	83869-56-1	Immunex, Leucomax (Novartis), Leukine, Leukine (Berlex Laboratories Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Anti-Infective Agents	3838	unknown	agonist	SDC2	P34741	6383	ENSG00000169439
70	DB00020	Sargramostim	Colony-stimulating factor, CSF, GM-CSF, Granulocyte-macrophage colony-stimulating factor precursor, Molgramostin	83869-56-1	Immunex, Leucomax (Novartis), Leukine, Leukine (Berlex Laboratories Inc)	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Anti-Infective Agents	3836	unknown	N/A	PRG2	P13727	5553	ENSG00000186652
71	DB00021	Secretin	Secremax, SecreFlo	N/A	SecreFlo, Secremax, SecreFlo (Repligen Corp)	biotech	approved	Diagnostic Agents	352	yes	agonist	SCTR	P47872	6344	ENSG00000080293
72	DB00022	Peginterferon alfa-2b	N/A	99210-65-8	PEG-Intron (Schering Corp), Unitron PEG	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	728	yes	agonist	IFNAR1	P17181	3454	ENSG00000142166
73	DB00022	Peginterferon alfa-2b	N/A	99210-65-8	PEG-Intron (Schering Corp), Unitron PEG	biotech	approved	Antineoplastic Agents, Immunomodulatory Agents, Antiviral Agents	428	yes	agonist	IFNAR2	P48551	3455	ENSG00000159110
74	DB00023	Asparaginase	L-asparagine amidohydrolase, Putative L-asparaginase precursor	9015-68-3	Elspar (Merck & Co. Inc)	biotech	approved	Antineoplastic Agents	875	yes	other/unknown	N/A	N/A	N/A	N/A
75	DB00024	Thyrotropin Alfa	Follicle-stimulating hormone beta subunit, Follitropin beta chain precursor, FSH-B, FSH-beta	9002-71-5	Thyrogen (Genzyme Inc)	biotech	approved	Diagnostic Agents	545	yes	agonist	TSHR	P16473	7253	ENSG00000165409
76	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	239	yes	activator	F10	P00742	2159	ENSG00000126218
77	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	400	yes	cofactor	F9	P00740	2158	ENSG00000101981
78	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	1635	yes	binder	VWF	P04275	7450	ENSG00000110799
79	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	3839	unknown	antagonist	PHYH	O14832	5264	ENSG00000107537
80	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	3840	unknown	binder	ASGR2	P07307	433	ENSG00000161944
81	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	1847	unknown	chaperone	HSPA5	P11021	3309	ENSG00000044574
82	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	3830	unknown	chaperone	CALR	P27797	811	ENSG00000179218
83	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	1516	unknown	chaperone	CANX	P27824	821	ENSG00000127022
84	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	3841	unknown	chaperone	LMAN1	P49257	3998	ENSG00000074695
85	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	3831	unknown	modulator	LRP1	Q07954	4035	ENSG00000123384
86	DB00025	Antihemophilic Factor	AHF, Coagulation factor VIII precursor, Procoagulant component	N/A	Advate, Alphanate, Bioclate, Helixate, Helixate FS, Hemofil M, Humate-P, Hyate:C, Koate-HP, Kogenate, Kogenate FS, Monarc-M, Monoclate-P, ReFacto, Xyntha	biotech	approved	Coagulants, Thrombotic Agents	3842	unknown	modulator	MCFD2	Q8NI22	90411	ENSG00000180398
87	DB00026	Anakinra	ICIL-1RA, IL-1ra, IL-1RN, IL1 inhibitor, Interleukin-1 receptor antagonist protein precursor, IRAP	143090-92-0	Kineret (Amgen Inc)	biotech	approved	Antirheumatic Agents, Immunomodulatory Agents	622	yes	antagonist	IL1R1	P14778	3554	ENSG00000115594
88	DB00028	Intravenous Immunoglobulin	Ig alpha-2 chain C region, immune globulin, Immunoglobulin G	9007-83-4	Civacir, Flebogamma (Instituto Grifols SA), Gamunex (Talecris Biotherapeutics)	biotech	approved	Immunomodulatory Agents, Anti-Infectives	784	yes	antagonist	FCGR1A	P12314	2209	ENSG00000150337
89	DB00028	Intravenous Immunoglobulin	Ig alpha-2 chain C region, immune globulin, Immunoglobulin G	9007-83-4	Civacir, Flebogamma (Instituto Grifols SA), Gamunex (Talecris Biotherapeutics)	biotech	approved	Immunomodulatory Agents, Anti-Infectives	7233	yes	antagonist	FCGR1B	Q92637	2210	ENSG00000198019
